,Outlet Code,F_2022,M_2022,R_2022,F_2023,M_2023,R_2023,F_2024,M_2024,R_2024,F,M,R,F_Label,M_Label,R_Label
1485,76023385,3.0,3523.0,884.0,2.0,558.35,353.0,10.0,1262.0,181.0,7.5,-778.675,-437.5,0,1,1
1486,76023394,7.0,5685.7,912.0,4.0,2408.9100000000003,523.0,3.0,767.87,165.0,-2.5,-3279.4350000000004,-552.5,1,1,1
1487,76023573,5.0,4408.73,830.0,15.0,8794.91,529.0,8.0,4193.27,173.0,-2.0,-2408.5499999999993,-506.5,1,1,1
1488,76023574,12.0,16720.56,881.0,15.0,20314.59,518.0,26.0,10491.869999999999,166.0,12.5,-8025.705000000002,-533.5,0,1,1
1489,76023659,16.0,5063.5,886.0,3.0,1878.87,467.0,1.0,1326.87,92.0,-8.5,-2144.315,-584.5,1,1,1
1490,76023852,8.0,4078.7200000000003,905.0,1.0,1552.5,510.0,11.0,0.0,171.0,6.5,-2815.61,-536.5,0,1,1
1491,76023948,11.0,5545.51,912.0,5.0,1987.87,528.0,8.0,1250.25,173.0,0.0,-2516.44,-547.0,0,1,1
1492,76023953,14.0,2716.4,899.0,13.0,2131.54,524.0,4.0,712.29,163.0,-9.5,-1711.6800000000003,-548.5,1,1,1
1493,76024061,6.0,3081.92,879.0,19.0,25461.29,523.0,33.0,12030.99,167.0,20.5,-2240.615,-534.0,0,1,1
1494,76024099,5.0,5577.8,817.0,2.0,851.32,292.0,3.0,296.0,168.0,-0.5,-2918.56,-386.5,1,1,1
1495,76024131,3.0,3312.0,741.0,5.0,1794.0,475.0,2.0,348.17,167.0,-2.0,-2204.83,-441.0,1,1,1
1496,76024141,16.0,9295.7,896.0,15.0,12655.5,510.0,9.0,5395.12,165.0,-6.5,-5580.4800000000005,-538.0,1,1,1
1497,76024151,20.0,11050.91,905.0,8.0,6395.75,542.0,3.0,1326.87,100.0,-11.0,-7396.46,-623.5,1,1,1
1498,76024160,3.0,488.3,906.0,4.0,596.5699999999999,539.0,4.0,0.0,105.0,0.5,-542.435,-617.5,0,1,1
1499,76024215,14.0,18421.91,902.0,16.0,15745.01,535.0,26.0,6368.75,172.0,11.0,-10714.71,-546.5,0,1,1
1500,76024232,22.0,10507.869999999999,910.0,11.0,7166.860000000001,542.0,6.0,1878.87,173.0,-10.5,-6958.495,-553.0,1,1,1
1501,76024238,11.0,4720.8,902.0,1.0,530.75,189.0,4.0,0.0,139.0,-2.0,-2625.775,-406.5,1,1,1
1502,76024277,9.0,13922.3,903.0,9.0,10959.59,437.0,15.0,9767.880000000001,152.0,6.0,-2673.0649999999987,-518.0,0,1,1
1503,76024279,17.0,5819.32,909.0,5.0,2856.0099999999998,535.0,4.0,1104.0,110.0,-7.0,-3233.665,-612.0,1,1,1
1504,76024317,10.0,3317.24,894.0,7.0,4869.5199999999995,521.0,1.0,276.0,166.0,-7.5,-3817.3799999999997,-541.5,1,1,1
1505,76024320,4.0,441.6,786.0,3.0,430.97,522.0,1.0,265.37,86.0,-2.5,-170.91500000000002,-568.0,1,1,1
1506,76024347,32.0,44281.87,902.0,11.0,14587.24,537.0,27.0,5062.08,168.0,5.5,-24372.475,-551.5,0,1,1
1507,76024355,22.0,23226.05,906.0,16.0,20842.26,529.0,14.0,5755.320000000001,158.0,-5.0,-16278.835,-559.5,1,1,1
1508,76024362,8.0,2461.0,902.0,3.0,679.37,472.0,1.0,55.2,158.0,-4.5,-1514.985,-529.0,1,1,1
1509,76024367,7.0,8456.69,899.0,5.0,4719.83,469.0,15.0,3451.6,166.0,9.0,-3136.6600000000003,-518.0,0,1,1
1510,76024369,17.0,42694.79,906.0,24.0,37556.5,517.0,40.0,28161.14,170.0,19.5,-11964.505000000005,-541.5,0,1,1
1511,76024375,6.0,4941.5,891.0,1.0,1019.32,460.0,1.0,265.37,41.0,-2.5,-2715.04,-634.5,1,1,1
1512,76024377,2.0,2787.6,684.0,4.0,3948.06,458.0,8.0,2046.37,180.0,5.0,-1321.46,-391.0,0,1,1
1513,76024378,21.0,28654.47,899.0,9.0,14368.39,544.0,4.0,3205.74,130.0,-11.0,-18305.690000000002,-591.5,1,1,1
1514,76024424,7.0,8508.6,850.0,3.0,2762.0699999999997,445.0,7.0,67.0,130.0,2.0,-5568.335,-517.5,0,1,1
1515,76024436,13.0,7123.72,896.0,10.0,7054.389999999999,535.0,4.0,1356.4699999999998,112.0,-7.5,-5732.585000000001,-603.5,1,1,1
1516,76024438,3.0,2848.0,888.0,3.0,248.39999999999998,369.0,1.0,1326.87,87.0,-2.0,-221.33000000000015,-541.5,1,1,1
1517,76024442,17.0,9640.97,891.0,11.0,10499.02,522.0,12.0,1104.0,171.0,-2.0,-8965.994999999999,-535.5,1,1,1
1518,76024457,6.0,5493.46,842.0,5.0,8211.38,538.0,4.0,427.66,119.0,-1.5,-6424.76,-571.0,1,1,1
1519,76024462,19.0,26866.72,905.0,21.0,27355.94,542.0,17.0,7977.3099999999995,123.0,-3.0,-19134.020000000004,-600.5,1,1,1
1520,76024485,6.0,2183.0,893.0,7.0,2409.45,492.0,3.0,1326.87,87.0,-3.5,-969.355,-605.5,1,1,1
1521,76024550,2.0,110.4,770.0,5.0,276.0,371.0,8.0,1254.69,167.0,4.5,1061.49,-403.5,0,0,1
1522,76024563,2.0,163.1,902.0,3.0,292.98,532.0,4.0,427.66,173.0,1.5,199.62,-544.0,0,0,1
1523,76024566,12.0,1909.5,908.0,3.0,834.35,504.0,1.0,197.2,54.0,-6.5,-1174.725,-652.0,1,1,1
1524,76024572,3.0,552.0,781.0,3.0,2205.5699999999997,543.0,1.0,132.69,102.0,-2.0,-1246.0949999999998,-560.0,1,1,1
